Tag;AVG_LWET200;AVG_RH200;AVG_TA020;AVG_TA200;AVG_TB005;AVG_WV200;DFROST;DHOT;DICE;DRAIN;DSUMM;DVEG;KWB;MAX_GS200;MAX_LWET200;MAX_NN050;MAX_RH200;MAX_TA020;MAX_TA200;MAX_TB005;MAX_WV200;MAX_WV200max;MIN_LWET200;MIN_RH200;MIN_TA020;MIN_TA200;MIN_TB005;SUM_GS200;SUM_NN050;SUM_SOH
23.08.2023;12,8;67,2;23,1;23,3;21,9;1,4;0;0;0;0;1;1;-4,3;764,2;45,3;0;91,7;32,4;29,5;22,7;3,6;5,5;6,7;44,4;15,9;17,3;21;5767,7;0;10
24.08.2023;22,1;72,8;22,9;22,7;21,4;1,6;0;1;0;1;1;1;6,8;744,4;95,6;11;92,2;35,3;33,3;22,4;5,3;8,5;5,6;38,7;14,6;16,2;20,4;4834,6;11,2;8
25.08.2023;34,6;81,8;21,2;21,5;21,1;1,9;0;0;0;1;1;1;7;394,6;100;3,6;95,1;27,5;26,5;21,5;4,6;7,9;9,9;62;17,5;18,7;20,7;2568,9;9,5;1
26.08.2023;59,9;91,3;18,1;17,8;20,6;1,3;0;0;0;1;0;1;19,6;257,2;100;7,8;98,3;21,2;20,2;21,1;3;4,8;12,5;77,8;14,7;15,2;20,1;1842,7;21,1;0
27.08.2023;64,5;92,3;16,5;16;19,6;1,3;0;0;0;1;0;1;4,4;322,3;100;3;99,4;20,8;19;20;2,3;4,2;12,1;77,2;13,5;13,8;19,3;1810,6;5,8;0
28.08.2023;56;87,2;14;13,8;18,6;1,8;0;0;0;1;0;1;-1;488,9;100;0,2;98,3;17,3;15,5;19,3;3,2;5,2;13;73,3;12,6;12,5;18,1;1836,1;0,4;0
29.08.2023;61,5;90,5;13,9;13,5;17,7;1,4;0;0;0;1;0;1;8,5;229;100;2,2;97,7;16,6;15,5;18,1;2,2;3,3;14;80,7;11,8;12,2;17,5;1583;9,7;0
30.08.2023;52,1;86,4;15;14,3;17,5;1,1;0;0;0;1;0;1;0,1;652,2;100;2;99,4;21,4;18,7;17,9;2,4;4,2;10;62,3;10,9;11,1;17;3430,3;2,2;4
31.08.2023;42,8;77,5;15;14,7;17,3;1,9;0;0;0;1;0;1;-1,6;588;99;0,7;97,1;19,3;18,1;17,6;4,1;6,6;9,7;54;10,5;10,9;17;3626,7;0,8;5
01.09.2023;37;80,8;17,9;17,7;17,7;1,8;0;0;0;1;0;1;0,3;575,4;100;1,4;95,3;24,6;22,9;18,4;3,7;6,5;9,8;60,9;13,6;14,5;17,2;3537,5;2,9;5
